passes_pct,carries,goals,opponent,take_ons_won,game_started,comp,position,xg,npxg,match_report,gca,touches,cards_yellow,shots,sca,date,pens_made,venue,result,minutes,pens_att,progressive_passes,assists,team,tackles,passes_completed,interceptions,round,blocks,passes,progressive_carries,cards_red,xg_assist,take_ons,shots_on_target,dayofweek
88.3,46,1,Wolves,1,Y,Premier League,RM,0.2,0.2,,2,76,1,3,2,2025-08-16,0,Away,W 4–0,90,0,6,1,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",1,53,0,Matchweek 1,1,60,5,0,0.1,3,1,Sat
81.4,34,0,Tottenham,0,Y,Premier League,CM,0.0,0.0,,0,48,0,1,2,2025-08-23,0,Home,L 0–2,90,0,5,0,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",1,35,0,Matchweek 2,0,43,2,0,0.0,0,0,Sat
87.3,52,0,Brighton,2,Y,Premier League,"LM,RM",0.0,0.0,,0,69,0,1,2,2025-08-31,0,Away,L 1–2,90,0,4,0,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",1,55,0,Matchweek 3,0,63,1,0,0.2,5,0,Sun
