take_ons_won,gca,game_started,cards_yellow,assists,result,venue,xg_assist,progressive_carries,round,progressive_passes,passes,touches,shots_on_target,minutes,goals,interceptions,team,passes_completed,pens_att,npxg,dayofweek,pens_made,sca,passes_pct,cards_red,opponent,bench_explain,match_report,comp,shots,position,xg,take_ons,tackles,carries,date,blocks
,,N,,,W 3–1,Home,,,Matchweek 1,,,,,,,,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,,,Sun,,,,,Brentford,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-17,
,,N,,,D 1–1,Away,,,Matchweek 2,,,,,,,,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,,,Sun,,,,,Crystal Palace,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-24,
,,N,,,L 0–3,Home,,,Matchweek 3,,,,,,,,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,,,Sun,,,,,West Ham,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-31,
0,0,Y,0,0,L 0–3,Away,0.0,0,Matchweek 4,1,52,60,0,90,0,0,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats"">Nott'ham Forest</a>",43,0,0.0,Sat,0,1,82.7,0,Arsenal,,,Premier League,0,"CB,LB",0.0,0,1,32,2025-09-13,1
