passes_pct,carries,goals,opponent,take_ons_won,game_started,comp,position,xg,npxg,match_report,gca,touches,cards_yellow,shots,sca,date,pens_made,venue,result,minutes,pens_att,progressive_passes,assists,team,tackles,passes_completed,interceptions,round,blocks,passes,progressive_carries,cards_red,xg_assist,take_ons,shots_on_target,dayofweek
66.7,19,0,West Ham,0,Y,Premier League,LW,0.1,0.1,,1,31,0,1,3,2025-08-16,0,Home,W 3–0,75,0,1,0,"<a href=""/en/squads/8ef52968/Sunderland-Stats"">Sunderland</a>",1,14,0,Matchweek 1,1,21,1,0,0.0,2,0,Sat
68.2,23,0,Burnley,0,Y,Premier League,LW,0.0,0.0,,0,28,1,0,1,2025-08-23,0,Away,L 0–2,62,0,1,0,"<a href=""/en/squads/8ef52968/Sunderland-Stats"">Sunderland</a>",0,15,0,Matchweek 2,0,22,3,0,0.2,0,0,Sat
100.0,6,0,Brentford,1,N,Premier League,"RW,RM",0.0,0.0,,0,9,0,0,1,2025-08-30,0,Home,W 2–1,26,0,0,0,"<a href=""/en/squads/8ef52968/Sunderland-Stats"">Sunderland</a>",1,5,0,Matchweek 3,0,5,0,0,0.0,3,0,Sat
