passes_pct,carries,goals,opponent,take_ons_won,game_started,comp,position,xg,npxg,match_report,gca,touches,cards_yellow,shots,sca,date,pens_made,venue,result,minutes,pens_att,progressive_passes,assists,team,tackles,passes_completed,interceptions,round,blocks,passes,progressive_carries,cards_red,xg_assist,take_ons,shots_on_target,dayofweek
68.0,18,0,Manchester Utd,0,Y,Premier League,LB,0.0,0.0,,0,31,0,0,3,2025-08-24,0,Home,D 1–1,61,0,4,0,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",2,17,1,Matchweek 2,1,25,2,0,0.2,0,0,Sun
79.4,20,0,Chelsea,0,Y,Premier League,LB,0.0,0.0,,0,48,0,0,0,2025-08-30,0,Away,L 0–2,66,0,1,0,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",4,27,1,Matchweek 3,1,34,2,0,0.0,2,0,Sat
