passes_pct,carries,goals,opponent,take_ons_won,game_started,comp,position,xg,npxg,match_report,gca,touches,cards_yellow,shots,sca,date,pens_made,venue,result,minutes,pens_att,progressive_passes,assists,team,tackles,passes_completed,interceptions,round,blocks,passes,progressive_carries,cards_red,xg_assist,take_ons,shots_on_target,dayofweek
81.8,11,0,Leeds United,0,N,Premier League,LW,0.0,0.0,,0,15,0,1,1,2025-08-18,0,Away,L 0–1,20,0,2,0,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",0,9,0,Matchweek 1,1,11,2,0,0.0,2,0,Mon
78.9,29,0,Brighton,1,Y,Premier League,LW,0.0,0.0,,2,50,0,1,3,2025-08-24,0,Home,W 2–0,89,0,4,2,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",3,30,0,Matchweek 2,1,38,5,0,0.9,8,0,Sun
91.9,36,0,Wolves,5,Y,Premier League,LW,0.3,0.3,,3,50,0,2,4,2025-08-30,0,Away,W 3–2,87,0,5,2,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",1,34,2,Matchweek 3,1,37,4,0,0.7,9,1,Sat
