take_ons_won,gca,game_started,cards_yellow,assists,result,venue,xg_assist,progressive_carries,round,progressive_passes,passes,touches,shots_on_target,minutes,goals,interceptions,team,passes_completed,pens_att,npxg,dayofweek,pens_made,sca,passes_pct,cards_red,opponent,bench_explain,match_report,comp,shots,position,xg,take_ons,tackles,carries,date,blocks
,,N,,,L 0–1,Away,,,Matchweek 1,,,,,,,,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",,,,Mon,,,,,Leeds United,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-18,
,,N,,,W 2–0,Home,,,Matchweek 2,,,,,,,,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",,,,Sun,,,,,Brighton,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-24,
0,0,N,0,0,W 3–2,Away,0.0,0,Matchweek 3,0,0,0,0,1,0,0,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",0,0,0.0,Sat,0,0,,0,Wolves,,,Premier League,0,RW,0.0,0,0,0,2025-08-30,0
,,N,,,D 0–0,Home,,,Matchweek 4,,,,,,,,"<a href=""/en/squads/d3fd31cc/Everton-Stats"">Everton</a>",,,,Sat,,,,,Aston Villa,"On matchday squad, but did not play",,Premier League,,,,,,,2025-09-13,
