passes_pct,carries,goals,opponent,take_ons_won,game_started,comp,position,xg,npxg,match_report,gca,touches,cards_yellow,shots,sca,date,pens_made,venue,result,minutes,pens_att,progressive_passes,assists,team,tackles,passes_completed,interceptions,round,blocks,passes,progressive_carries,cards_red,xg_assist,take_ons,shots_on_target,dayofweek
67.5,23,0,Liverpool,0,Y,Premier League,GK,0.0,0.0,,0,46,0,0,0,2025-08-15,0,Away,L 2–4,90,0,0,0,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0,27,0,Matchweek 1,0,40,0,0,0.0,0,0,Fri
62.5,15,0,Wolves,0,Y,Premier League,GK,0.0,0.0,,0,26,0,0,0,2025-08-23,0,Home,W 1–0,90,0,0,0,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0,15,0,Matchweek 2,0,24,0,0,0.0,0,0,Sat
55.9,21,0,Tottenham,0,Y,Premier League,GK,0.0,0.0,,0,36,1,0,1,2025-08-30,0,Away,W 1–0,90,0,0,0,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats"">Bournemouth</a>",0,19,0,Matchweek 3,0,34,0,0,0.0,0,0,Sat
