passes_pct,carries,goals,opponent,take_ons_won,game_started,comp,position,xg,npxg,match_report,gca,touches,cards_yellow,shots,sca,date,pens_made,venue,result,minutes,pens_att,progressive_passes,assists,team,tackles,passes_completed,interceptions,round,blocks,passes,progressive_carries,cards_red,xg_assist,take_ons,shots_on_target,dayofweek
59.1,22,0,Aston Villa,1,Y,Premier League,FW,0.5,0.5,,0,35,0,7,2,2025-08-16,0,Away,D 0–0,90,0,1,0,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0,13,0,Matchweek 1,0,22,4,0,0.0,2,2,Sat
83.3,12,0,Liverpool,3,Y,Premier League,FW,0.5,0.5,,0,20,0,3,4,2025-08-25,0,Home,L 2–3,44,0,2,0,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats"">Newcastle Utd</a>",0,10,0,Matchweek 2,0,12,0,1,0.0,4,1,Mon
