take_ons_won,gca,game_started,cards_yellow,assists,result,venue,xg_assist,progressive_carries,round,progressive_passes,passes,touches,shots_on_target,minutes,goals,interceptions,team,passes_completed,pens_att,npxg,dayofweek,pens_made,sca,passes_pct,cards_red,opponent,bench_explain,match_report,comp,shots,position,xg,take_ons,tackles,carries,date,blocks
,,N,,,L 0–4,Home,,,Matchweek 1,,,,,,,,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,Sat,,,,,Manchester City,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-16,
,,N,,,L 0–1,Away,,,Matchweek 2,,,,,,,,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,Sat,,,,,Bournemouth,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-23,
,,N,,,L 2–3,Home,,,Matchweek 3,,,,,,,,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,Sat,,,,,Everton,"On matchday squad, but did not play",,Premier League,,,,,,,2025-08-30,
0,0,Y,0,0,L 0–1,Away,0.0,0,Matchweek 4,0,45,52,0,90,0,0,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",23,0,0.0,Sat,0,0,51.1,0,Newcastle Utd,,,Premier League,0,GK,0.0,0,0,32,2025-09-13,0
