dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,74.5,1,0,2,2024-02-24,0,Matchweek 26,0.0,1,"DM,CB",2,1,0,Premier League,2,1,0,47,0,35,Home,27,90,L 0–1,0,56,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Manchester City,,0,1
Sun,Y,67.9,0,0,0,2024-03-03,0,Matchweek 27,0.0,0,DM,3,0,0,Premier League,1,0,0,28,0,19,Away,10,90,W 2–0,2,40,2,2,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.6,Burnley,,3,1
Sat,Y,78.6,0,0,4,2024-03-09,0,Matchweek 28,0.0,1,"DM,RB",1,0,0,Premier League,1,0,0,70,0,55,Home,44,90,D 2–2,0,80,13,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Sheffield Utd,,6,0
Wed,Y,76.2,2,1,1,2024-03-13,0,Matchweek 17,0.0,1,"DM,RB",2,1,0,Premier League,2,0,0,42,0,32,Home,29,90,W 4–3,0,53,5,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Luton Town,,4,1
Sat,Y,59.6,4,0,1,2024-03-30,0,Matchweek 30,0.2,3,DM,0,1,0,Premier League,1,0,0,52,0,31,Home,25,90,W 2–1,0,60,6,0,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.3,Everton,,4,2
Tue,Y,72.7,1,0,1,2024-04-02,0,Matchweek 31,0.0,0,"CB,DM",0,1,0,Premier League,3,0,0,66,0,48,Home,39,90,W 1–0,0,73,6,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Crystal Palace,,2,2
Sat,Y,72.7,1,0,0,2024-04-06,0,Matchweek 32,0.0,0,DM,0,0,0,Premier League,1,0,0,22,0,16,Away,11,86,L 1–2,0,25,2,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Luton Town,,0,2
Sat,Y,65.5,1,0,0,2024-04-13,0,Matchweek 33,0.0,0,DM,0,1,0,Premier League,2,1,0,55,0,36,Home,22,90,D 2–2,0,61,6,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Manchester Utd,,4,1
Sun,Y,85.4,0,0,1,2024-04-21,0,Matchweek 34,0.0,0,"DM,CM",2,0,0,Premier League,0,0,0,48,0,41,Away,27,90,L 1–3,0,57,2,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Aston Villa,,1,3
Wed,Y,77.8,1,0,1,2024-04-24,0,Matchweek 29,0.0,0,DM,1,1,0,Premier League,2,0,0,54,0,42,Away,31,90,W 1–0,0,62,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Wolves,,1,1
Sun,Y,60.0,1,0,1,2024-04-28,0,Matchweek 35,0.0,0,"CM,DM",1,0,0,Premier League,4,0,0,35,0,21,Home,18,90,W 3–0,0,47,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.3,Brighton,,2,4
Sat,Y,84.4,1,0,0,2024-05-04,0,Matchweek 36,0.0,0,"CM,CB",5,1,0,Premier League,1,0,0,45,0,38,Away,32,90,L 0–3,0,59,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Arsenal,,0,3
Sat,Y,75.9,1,1,1,2024-05-11,0,Matchweek 37,0.0,1,"DM,RB",0,1,0,Premier League,3,0,0,58,0,44,Home,37,90,L 1–2,0,66,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Brentford,,4,0
Sun,Y,83.3,0,0,2,2024-05-19,0,Matchweek 38,0.0,1,"DM,RB",0,0,0,Premier League,1,0,0,42,0,35,Away,31,90,L 1–2,0,48,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.5,Chelsea,,3,3
