dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Wed,Y,90.9,1,0,1,2024-01-31,0,Matchweek 22,0.1,1,"CM,CB",2,1,0,Premier League,3,0,0,22,0,20,Away,15,90,L 1–3,0,30,4,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Manchester City,,2,2
Sat,Y,70.9,1,1,0,2024-02-03,0,Matchweek 23,0.1,2,CM,3,1,0,Premier League,2,1,0,55,0,39,Home,39,90,D 2–2,0,68,2,1,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Fulham,,2,1
Sat,Y,87.9,1,0,2,2024-02-10,0,Matchweek 24,0.0,0,"CM,CB",1,1,0,Premier League,2,0,0,33,0,29,Away,17,90,L 1–3,0,49,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Liverpool,,1,2
Sat,Y,86.2,1,0,0,2024-02-17,0,Matchweek 25,0.0,0,CM,2,1,0,Premier League,3,0,0,29,0,25,Home,12,90,L 0–5,0,38,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Arsenal,,0,2
Sat,Y,82.0,1,0,3,2024-02-24,0,Matchweek 26,0.0,0,CM,3,1,0,Premier League,4,0,0,50,0,41,Away,37,90,L 0–3,0,66,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Crystal Palace,,0,0
Sun,Y,91.4,2,0,3,2024-03-03,0,Matchweek 27,0.1,1,"CM,CB",0,2,0,Premier League,5,0,0,70,0,64,Home,51,90,L 0–2,0,76,8,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Bournemouth,,2,0
Sun,Y,88.5,2,0,7,2024-03-10,0,Matchweek 28,0.1,2,CM,1,0,0,Premier League,1,1,0,52,0,46,Away,43,90,D 2–2,0,61,6,1,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.3,West Ham,,4,0
Sat,Y,87.9,3,0,4,2024-03-16,0,Matchweek 29,0.0,1,CM,0,0,0,Premier League,2,0,0,66,0,58,Home,52,90,W 2–1,0,75,14,1,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Brentford,,7,1
Sat,Y,83.3,1,0,1,2024-03-30,0,Matchweek 30,0.1,1,CM,1,1,0,Premier League,0,0,0,24,0,20,Away,12,90,D 2–2,0,28,6,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Chelsea,,3,0
Tue,Y,87.3,1,0,3,2024-04-02,0,Matchweek 31,0.0,0,CM,5,0,0,Premier League,6,0,0,55,0,48,Home,40,90,D 1–1,0,67,7,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Wolves,,0,1
Sat,Y,88.1,1,0,2,2024-04-06,0,Matchweek 32,0.0,1,"CM,CB",0,0,0,Premier League,2,1,0,59,0,52,Away,41,90,L 0–1,0,66,5,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Everton,,1,0
Sat,Y,100.0,1,0,3,2024-04-13,0,Matchweek 33,0.0,1,"CM,CB",1,0,0,Premier League,1,0,0,45,0,45,Home,32,90,D 1–1,0,53,4,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Brighton,,4,0
Sat,Y,90.0,2,0,2,2024-04-20,0,Matchweek 34,0.0,0,CM,2,0,0,Premier League,4,0,0,70,0,63,Away,42,90,W 4–1,0,79,8,1,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.2,Sheffield Utd,,3,1
Sat,Y,89.6,1,0,3,2024-04-27,0,Matchweek 35,0.0,0,CM,1,1,0,Premier League,3,0,0,48,0,43,Away,28,90,D 1–1,0,56,7,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.4,Manchester Utd,,5,2
Sat,Y,91.8,2,0,4,2024-05-04,0,Matchweek 36,0.1,2,DM,0,0,0,Premier League,1,0,0,49,0,45,Home,41,90,L 1–4,0,62,8,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Newcastle Utd,,1,0
Sat,Y,100.0,3,0,0,2024-05-11,0,Matchweek 37,0.0,0,CM,2,2,0,Premier League,3,1,0,29,0,29,Away,22,90,L 1–2,1,38,6,2,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.2,Tottenham,,2,0
Sun,Y,96.9,0,0,3,2024-05-19,0,Matchweek 38,0.0,0,"CM,CB",1,0,0,Premier League,0,0,0,129,0,125,Home,84,90,L 1–2,0,130,9,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Nott'ham Forest,,5,0
