dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 28,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-03-10,West Ham,,,
Sat,Y,66.7,0,0,0,0,Matchweek 29,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,39,0,26,Home,26,90,W 2–1,0,43,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-03-16,Brentford,,0,0
Sat,Y,70.0,0,0,0,0,Matchweek 30,0.0,0,GK,0,0,0,Premier League,1,,0.0,0,0,50,0,35,Away,29,90,D 2–2,0,56,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-03-30,Chelsea,,1,0
Tue,Y,66.0,0,0,0,0,Matchweek 31,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,53,0,35,Home,37,90,D 1–1,0,55,0,1,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-04-02,Wolves,,1,0
Sat,Y,74.3,0,0,0,0,Matchweek 32,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,70,0,52,Away,48,90,L 0–1,0,72,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-04-06,Everton,,0,0
Sat,Y,70.4,0,0,0,0,Matchweek 33,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,81,0,57,Home,60,90,D 1–1,0,89,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-04-13,Brighton,,0,0
Sat,Y,73.5,0,0,0,0,Matchweek 34,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,68,0,50,Away,51,90,W 4–1,0,76,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-04-20,Sheffield Utd,,0,0
Sat,Y,70.8,0,0,0,0,Matchweek 35,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,72,0,51,Away,54,90,D 1–1,0,75,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-04-27,Manchester Utd,,1,0
Sat,Y,51.7,0,0,0,0,Matchweek 36,0.0,0,GK,0,0,0,Premier League,0,,0.1,0,0,60,0,31,Home,49,90,L 1–4,0,67,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-05-04,Newcastle Utd,,2,0
Sat,Y,61.7,0,0,0,0,Matchweek 37,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,60,0,37,Away,44,90,L 1–2,0,67,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-05-11,Tottenham,,0,0
Sun,Y,93.8,0,0,0,0,Matchweek 38,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,32,0,30,Home,20,90,L 1–2,0,35,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2024-05-19,Nott'ham Forest,,1,0
