dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,64.3,0,0,0,0,Matchweek 24,0.0,0,CM,0,0,0,Premier League,1,,0.0,1,0,14,0,9,Home,9,45,L 0–6,0,17,1,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-02-11,Arsenal,,0,1
Sat,Y,82.1,1,1,1,0,Matchweek 25,0.0,1,DM,1,0,0,Premier League,1,,0.0,2,0,39,1,32,Away,24,70,L 0–2,0,46,5,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-02-17,Nott'ham Forest,,1,2
Sat,N,76.9,0,0,0,0,Matchweek 27,0.0,0,"DM,CM",0,0,0,Premier League,0,,0.0,0,0,13,0,10,Away,4,25,W 3–1,0,14,1,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-03-02,Everton,,0,0
Sun,Y,82.1,0,0,0,0,Matchweek 28,0.0,0,DM,0,0,0,Premier League,1,,0.0,0,0,28,0,23,Home,17,45,D 2–2,0,29,2,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-03-10,Burnley,,0,0
Sun,N,,,,,,Matchweek 29,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-03-17,Aston Villa,,,
Sat,N,50.0,0,0,0,0,Matchweek 30,0.0,0,"FW,DM",1,0,0,Premier League,1,,0.0,0,0,10,0,5,Away,3,22,L 3–4,0,13,1,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-03-30,Newcastle Utd,,0,0
Tue,N,,,,,,Matchweek 31,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-04-02,Tottenham,,,
Sat,N,,,,,,Matchweek 32,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–1,,,,,,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-04-06,Wolves,,,
Sun,N,80.0,0,0,0,0,Matchweek 34,0.0,0,CM,0,0,0,Premier League,2,,0.0,0,0,15,0,12,Away,10,16,L 2–5,0,18,2,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-04-21,Crystal Palace,,0,0
Sat,N,,,,,,Matchweek 35,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",2024-04-27,Liverpool,,,
